delivery_rate,rss_median,link,channel
,,69,149
,,69,153
,,69,157
,,69,161
,,69,165
,,69,36
0.3976432242697756,-79.5,69,40
,,69,44
,,69,48
0.4099573614246301,-75.0,69,52
,,69,56
,,69,60
0.26108471892319873,-77.0,69,64
0.9619269619269619,-69.0,7,149
0.9405881176235247,-70.0,7,153
0.9402446360537398,-70.0,7,157
0.9613695090439276,-68.0,7,161
0.9616858237547893,-63.5,7,165
0.9456704090850432,-70.0,7,36
0.8291661378347506,-76.0,7,40
0.961108220603538,-73.0,7,44
0.9589308996088657,-69.0,7,48
0.9454994797086368,-68.0,7,52
0.655955973726256,-70.0,7,56
0.9479491173416407,-69.0,7,60
0.9275568181818182,-73.0,7,64
,,70,149
,,70,153
,,70,157
,,70,161
,,70,165
0.0012919896640826874,-87.0,70,36
1.0,-85.0,70,40
,,70,44
,,70,48
0.008257963035784506,-81.0,70,52
0.03897395108371446,-80.0,70,56
,,70,60
0.03411344704482348,-78.5,70,64
0.489490245437382,-78.0,71,149
0.8165114523030456,-74.5,71,153
0.46779661016949153,-76.5,71,157
0.9616207373851768,-72.0,71,161
0.8572503763171099,-74.5,71,165
0.9221089719390965,-71.5,71,36
0.9559819413092551,-63.0,71,40
0.949672873678913,-74.5,71,44
0.9584692597239649,-67.0,71,48
0.9408440090429541,-66.0,71,52
0.8941432528690146,-71.0,71,56
0.10486703462117411,-80.5,71,60
0.9376854599406528,-63.0,71,64
,,72,149
,,72,153
,,72,157
,,72,161
,,72,165
,,72,36
,,72,40
,,72,44
,,72,48
,,72,52
,,72,56
,,72,60
,,72,64
,,73,149
,,73,153
,,73,157
,,73,161
,,73,165
,,73,36
,,73,40
,,73,44
,,73,48
,,73,52
,,73,56
,,73,60
,,73,64
,,74,149
,,74,153
,,74,157
,,74,161
,,74,165
0.15959316926167755,-81.0,74,36
,,74,40
,,74,44
,,74,48
,,74,52
,,74,56
,,74,60
,,74,64
,,75,149
,,75,153
,,75,157
,,75,161
,,75,165
,,75,36
,,75,40
,,75,44
,,75,48
,,75,52
,,75,56
,,75,60
,,75,64
,,76,149
,,76,153
,,76,157
,,76,161
,,76,165
,,76,36
,,76,40
,,76,44
,,76,48
,,76,52
,,76,56
,,76,60
,,76,64
0.9275015733165513,-74.0,77,149
0.3582445141065831,-78.0,77,153
0.014093013891685121,-80.0,77,157
0.03775743707093822,-79.0,77,161
0.40233492342455435,-77.0,77,165
0.702076777847703,-78.0,77,36
0.6569774757770228,-77.0,77,40
