delivery_rate,rss_median,link,channel
0.9454994797086368,-68.0,13,52
0.9598544887618553,-70.0,13,56
0.9479491173416407,-69.0,13,60
0.9259543940558544,-73.0,13,64
0.770949720670391,-70.5,14,149
0.9065946960807322,-69.0,14,153
0.39861709225450354,-72.0,14,157
0.3020773972957571,-74.0,14,161
0.27724074815535094,-74.0,14,165
0.7839162765078491,-71.0,14,36
0.4373966714427422,-72.0,14,40
0.40703656580184766,-69.5,14,44
0.6735270160195492,-69.0,14,48
0.7557833859095688,-74.5,14,52
0.8289273434417451,-71.0,14,56
0.7054183221051419,-72.0,14,60
0.7898755486081885,-71.0,14,64
0.23574975173783516,-76.0,15,149
,,15,153
,,15,157
0.003889969435954432,-79.0,15,161
0.0058050717995722576,-81.0,15,165
0.509182389937107,-78.5,15,36
0.7549069589599796,-75.0,15,40
0.24628369866465105,-79.0,15,44
0.5477241205396545,-77.5,15,48
0.6869266055045872,-74.0,15,52
0.5324429885347108,-76.0,15,56
0.6929979777553084,-76.0,15,60
0.20043659456241317,-78.0,15,64
,,16,149
,,16,153
,,16,157
,,16,161
,,16,165
,,16,36
0.0037676609105180532,-80.0,16,40
0.0010804970286331713,-83.0,16,44
,,16,48
,,16,52
,,16,56
,,16,60
,,16,64
0.9597324239244491,-68.0,17,149
0.939594621713827,-62.0,17,153
0.9396883222019834,-68.0,17,157
0.9519633507853403,-69.0,17,161
0.9361443340766268,-66.0,17,165
0.24889729048519219,-79.0,17,36
0.5860548988178722,-78.0,17,40
0.9332725140101655,-69.0,17,44
0.9583005507474429,-70.0,17,48
0.9331588483994363,-66.0,17,52
0.9536976653188992,-70.5,17,56
0.9470983024082116,-71.0,17,60
0.9583831937242387,-69.5,17,64
0.9405980333132651,-63.0,18,149
0.94,-60.5,18,153
0.9586595247905507,-62.5,18,157
0.9588129246983775,-63.0,18,161
0.960054347826087,-60.5,18,165
0.9364123159303882,-66.0,18,36
0.9581937558622537,-63.0,18,40
0.9599891862665585,-62.5,18,44
0.9596094690383844,-68.0,18,48
0.9351590817559404,-63.5,18,52
0.9590039895446416,-57.0,18,56
0.9069179208296446,-63.0,18,60
0.9601902173913044,-59.0,18,64
,,19,149
,,19,153
,,19,157
,,19,161
,,19,165
0.35413514876449825,-81.0,19,36
0.6235528942115769,-74.5,19,40
0.917534477905995,-73.5,19,44
0.19781324619831595,-79.0,19,48
0.8425331060705389,-72.0,19,52
0.7582768248903071,-75.0,19,56
0.9413233458177278,-71.5,19,60
0.9402566158781075,-70.5,19,64
,,2,149
,,2,153
,,2,157
1.0,-84.0,2,161
,,2,165
,,2,36
,,2,40
,,2,44
0.06548895899053628,-80.0,2,48
1.0,-86.0,2,52
0.00248790601243953,-84.0,2,56
,,2,60
,,2,64
0.792815583101442,-70.5,20,149
0.9398,-70.0,20,153
0.9011873616421815,-71.5,20,157
0.6913784333672431,-72.0,20,161
0.0008958967926894822,-82.0,20,165
0.9164730183320423,-74.0,20,36
0.14697732997481108,-80.0,20,40
0.007647385984427141,-83.0,20,44
0.6534828063987907,-76.5,20,48
0.8827319587628866,-72.5,20,52
0.9599429608504019,-72.0,20,56
0.6827916351725876,-75.5,20,60
0.7455696202531645,-75.5,20,64
0.5201105680634565,-73.5,21,149
0.31245273506428034,-61.0,21,153
0.45698993712997416,-68.5,21,157
0.4724750691229923,-66.0,21,161
0.6828585104685588,-67.0,21,165
0.2862493687222939,-79.0,21,36
0.4848065131834535,-61.5,21,40
0.4144577555576518,-71.0,21,44
0.4406912558022833,-74.5,21,48
0.5281335731545576,-68.0,21,52
0.43588891000063335,-73.0,21,56
