Ordered Overview of capture-time and settings
=======================================================
| 18:16:36 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 18:17:54 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 18:19:12 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 18:20:30 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 18:21:48 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 18:30:18 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 18:31:35 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 18:32:53 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 18:34:12 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 18:35:29 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 18:36:48 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 18:45:17 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 18:46:36 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 18:47:53 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 18:49:11 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 18:50:29 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 18:51:48 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 19:00:17 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 19:01:35 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 19:02:53 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 19:04:11 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 19:04:32 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 19:05:50 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 19:15:18 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 19:16:36 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 19:17:54 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 19:19:12 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 19:20:30 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 19:21:47 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 19:30:18 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 19:31:36 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 19:32:54 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 19:34:11 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 19:35:29 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 19:36:47 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 19:45:18 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 19:46:35 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 19:47:53 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 19:49:11 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 19:50:29 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 19:51:46 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 20:00:17 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 20:01:35 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 20:02:53 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 20:04:11 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 20:05:28 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 20:06:46 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 20:15:17 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 20:16:35 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 20:17:53 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 20:19:11 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 20:20:29 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 20:21:47 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 20:30:17 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 20:31:35 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 20:32:53 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 20:34:11 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 20:35:28 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 20:36:46 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 20:45:18 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 20:46:35 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 20:47:53 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 20:49:11 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
-------------------------------------------------------

190 captures in total
